Restaurant ID,Restaurant Name,City,Address,Locality Verbose,Longitude,Latitude,Cuisines,Average_Cost_for_two,Has Table booking,Has Online delivery,Price_range,Aggregate_rating,Rating text,Votes
1,K Lab,Gurgaon,"Shop GF-18, ILD Trade Centre, Sector 47, Near Sohna Road, Gurgaon"," ILD Trade Centre Mall, Sohna Road, Gurgaon",77.0393103,28.4248315,"Cafe, Beverages",350,0,0,1,3.4,Average,16
2,Pind Balluchi,Gurgaon,"112/112-A, 1st Floor, ILD Trade Centre, Near Subhash Chowk, Sohna Road, Gurgaon"," ILD Trade Centre Mall, Sohna Road, Gurgaon",77.0392204,28.4249125,"North Indian, Mughlai",800,1,1,2,2.7,Average,80
3,Punjab Grill,Gurgaon,"3rd Floor, Ambience Mall, Gurgaon","Ambience Mall, Gurgaon, Gurgaon",77.0971178,28.5030769,"North Indian, Mughlai",2000,1,1,4,4.3,Very Good,1887
4,Zambar,Gurgaon,"3rd Floor, Ambience Mall, Gurgaon","Ambience Mall, Gurgaon, Gurgaon",77.0971853,28.5026128,"South Indian, Seafood, Kerala",1400,1,1,3,4,Very Good,802
5,Cakes & More,Gurgaon,"27, Ground Floor, Ansal Plaza Mall, Palam Vihar, Gurgaon","Ansal Plaza Mall, Palam Vihar, Gurgaon",77.0420091,28.5114162,Bakery,250,0,0,1,3,Average,4
6,Kwality Wall's Swirl's,Gurgaon,"Ground Floor, Ansal Plaza Mall, Palam Vihar, Gurgaon","Ansal Plaza Mall, Palam Vihar, Gurgaon",77.0419641,28.5114567,Ice Cream,200,0,0,1,3,Average,5
7,Yo! Dimsum,Gurgaon,"Ground Floor, Ansal Plaza Mall, Palam Vihar, Gurgaon","Ansal Plaza Mall, Palam Vihar, Gurgaon",77.0420091,28.5115059,Chinese,200,0,0,1,3,Average,10
8,Red,Gurgaon,"5, Sector 52 A, Near Ardee City, Gurgaon","Ardee City, Gurgaon",77.08785083,28.44070881,"Japanese, Thai, Chinese",1200,0,1,3,3,Average,57
9,Rocketchefs,Gurgaon,"IOCL Petrol Pump, Ardee City, Gurgaon","Ardee City, Gurgaon",77.0855313,28.4423933,"Pizza, Desserts",500,0,1,2,3.1,Average,4
10,The Fresh Chicken Store,Gurgaon,"C Block Market, Sector 52, Ardee City, Gurgaon","Ardee City, Gurgaon",77.0757671,28.4418793,"Raw Meats, Fast Food",350,0,0,1,2.9,Average,4
11,Club Tokyo - Best Western Skycity Hotel,Gurgaon,"Best Western Skycity Hotel, 1 Old Judicial Complex, Sector 15, Gurgaon","Best Western Skycity Hotel, Sector 15, Gurgaon, Gurgaon",77.0347151,28.4580879,Japanese,1500,1,0,3,2.8,Average,13
12,Lattitude - Skycity Hotel,Gurgaon,"Best Western Skycity Hotel, 1, Old Judicial Complex, Sector 15, Gurgaon","Best Western Skycity Hotel, Sector 15, Gurgaon, Gurgaon",77.0349627,28.4582412,"North Indian, Chinese, Continental",2500,1,0,4,2.9,Average,15
13,Bisque Bakery,Gurgaon,"133/134, Central Arcade, DLF Phase 2, Gurgaon","Central Arcade, DLF Phase 2, Gurgaon, Gurgaon",77.0857204,28.4807592,"Bakery, Fast Food",500,0,1,2,3.9,Good,415
14,Behrouz Biryani,Gurgaon,"Sector 53, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1006623,28.4434069,Biryani,600,0,1,2,3.4,Average,36
15,DomiNo's Pizza,Gurgaon,"G-4/5, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1010066,28.4428671,"Pizza, Fast Food",700,0,0,2,3.4,Average,104
16,Giani,Gurgaon,"GF-11, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1009167,28.4430378,"Ice Cream, Desserts",400,0,1,1,3.4,Average,70
17,PizzaVito,Gurgaon,"Ground Floor, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1007369,28.4431102,"Italian, Pizza, Lebanese",900,1,1,2,3.3,Average,218
18,Shawarma House,Gurgaon,"2, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1010965,28.4426964,Lebanese,500,0,1,2,3.4,Average,225
19,Subway,Gurgaon,"G-6, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1009167,28.4430378,"American, Fast Food, Salad, Healthy Food",500,0,1,2,2.5,Average,150
20,Asian Bistro,Gurgaon,"F1No/F11, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1008268,28.4429395,"Chinese, Thai, North Indian, Japanese",1600,1,1,3,3.8,Good,184
21,BBQ Factory,Gurgaon,"Ground Floor 1, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1009883,28.442717,North Indian,1400,1,1,3,3.9,Good,146
22,Faaso's,Gurgaon,"Shop 18, Ground Floor, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1005772,28.443403,"North Indian, Fast Food",600,0,1,2,3.6,Good,33
23,Chaayos,Gurgaon,"13 & 28, Central Plaza, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road, Gurgaon",77.1007871,28.4431891,"Cafe, Tea",400,0,1,1,4.3,Very Good,48
24,Mosaic - Country Inn & Suites,Gurgaon,"Country Inn & Suites by Carlson, Sector 29, Gurgaon","Country Inn & Suites by Carlson, Gurgaon, Gurgaon",77.0676442,28.4619878,"North Indian, Asian, Continental",1500,1,0,3,3.8,Good,91
25,6No ML - Country Inn & Suites by Carlson,Gurgaon,"Country Inn & Suites by Carlson, Old Delhi Gurgaon Road, Sector 12, Gurgaon","Country Inn & Suites by Carlson, Sector 12, Gurgaon",77.0376911,28.468336,Finger Food,1000,1,0,3,3,Average,7
26,Mosaic - Country Inn & Suites by Carlson,Gurgaon,"Country Inn & Suites by Carlson, Old Delhi Gurgaon Road, Sector 12, Gurgaon","Country Inn & Suites by Carlson, Sector 12, Gurgaon",77.037781,28.4684343,"Continental, North Indian, Chinese",1800,1,0,3,3.5,Good,37
27,Big Shot Bar - Country Inn & Suites,Gurgaon,"Country Inn & Suites By Carlson, 4No6, Phase 3, Udyog Vihar, Gurgaon","Country Inn & Suites By Carlson, Udyog Vihar, Gurgaon",77.0918351,28.5092246,"Chinese, Italian, North Indian",2200,1,0,4,3.5,Good,32
28,Mosaic - Country Inn & Suites By Carlson,Gurgaon,"Country Inn & Suites By Carlson, 1Noth KM Stone, Bhondsi, Sohna Road, Gurgaon","Country Inn & Suites, Sohna Road, Gurgaon",77.0684986,28.3349418,"North Indian, Chinese, Italian, Continental",1300,1,0,3,3.4,Average,19
29,Downtown Kitchen & Bar - Courtyard by Marriott,Gurgaon,"Courtyard by Marriott, Plot 27 B, Sushant Lok 1, Sushant Lok, Gurgaon","Courtyard by Marriott, Sushant Lok, Gurgaon",77.080367,28.460925,"Chinese, North Indian, Italian",2700,0,0,4,3.2,Average,6
30,Di Ghent Boulangerie,Gurgaon,"Shop 212/214, Level 2, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.0835375,28.46836827,"Cafe, Belgian",1700,0,0,3,3.9,Good,231
